url,year_of_pass,Label,Up,Down
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1531_002840&category=dirSer,1531,정진(鄭振),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1538_002997&category=dirSer,1538,정유길(鄭惟吉),2,4
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1538_002998&category=dirSer,1538,이홍남(李洪男),4,2
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1543_003116&category=dirSer,1543,이감(李戡),2,4
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1546_003200&category=dirSer,1546,심수경(沈守慶),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1552_003325&category=dirSer,1552,박호원(朴好元),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1553_003347&category=dirSer,1553,홍천민(洪天民),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1559_003499&category=dirSer,1559,성수익(成壽益),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1564_003601&category=dirSer,1564,박응복(朴應福),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1564_003605&category=dirSer,1564,홍성민(洪聖民),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1567_003676&category=dirSer,1567,김시회(金時晦),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1572_003791&category=dirSer,1572,허봉(許篈),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1572_003821&category=dirSer,1572,윤엄(尹儼),2,4
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1572_003826&category=dirSer,1572,심희수(沈喜壽),4,2
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1579_003988&category=dirSer,1579,정창연(鄭昌衍),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1584_004153&category=dirSer,1584,이상홍(李尙弘),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1590_004326&category=dirSer,1590,이광정(李光庭),2,4
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1590_004331&category=dirSer,1590,박동선(朴東善),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1590_004332&category=dirSer,1590,김상용(金尙容),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1590_004337&category=dirSer,1590,박동량(朴東亮),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1590_004344&category=dirSer,1590,이정귀(李廷龜),2,4
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1593_004410&category=dirSer,1593,심열(沈悅),4,2
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1596_004486&category=dirSer,1596,심액(沈詻),4,2
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1601_004579&category=dirSer,1601,이사경(李士慶),3,3
